text [875, 107, 937, 580]象曰九二悔亡也八中也
text [687, 158, 835, 932]荀爽曰乾爲人也能久行中和以陽據陰故
text [547, 113, 648, 705]九二不恒其德或承之羞貞吝
text [412, 158, 532, 932]荀爽曰與初同象欲搏初隅二與五爲兌欲
text [288, 158, 408, 932]悅之隕四意无所定故不恒其德與上相應
text [162, 158, 277, 932]欲往承之爲陰所乘故或承之者也言者
text [108, 174, 165, 660]謂正居其所不與陰通也
text [126, 696, 195, 932]无居自容故貞
text [76, 0, 155, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
text [55, 0, 124, 999]九二也
