text [728, 121, 865, 632]蒙曰避尾之虜不往何災也
text [581, 121, 718, 632]虜之應成坎爲災在艮宜靜若不往於四則
text [472, 121, 560, 309]无
text [327, 121, 455, 737]六二執之用黃牛之華莫之勝說
text [202, 121, 325, 932]虞翻曰良爲手稱執否坤爲萬牛良爲皮四
text [50, 121, 297, 932]虞翻曰良爲手稱執否坤爲萬牛良爲皮四
於之初則坎水濡皮離日乾之故執之用黃
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121, 50, 432][Non-Text]
text [0, 121,
