text [695, 109, 907, 932]位則宜自艱无事政以避小人之害也
象曰明入地中明夷
text [437, 109, 692, 932]蜀手曰此本臨封也案夷滅也九二外三六
text [272, 109, 432, 932]內文明而外示順以蒙大難
苟爽曰明在於下爲坤所蔽大難
text [138, 149, 260, 677]文王君臣相事故
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
text [50, 121, 155, 297]位則
