text [695, 121, 895, 715]男女睽而共志通也
text [676, 149, 781, 715]佳果日出處雖殊情通志合
text [594, 149, 677, 715]四動良為男允為女故男女
text [472, 149, 574, 395]故其志通也
text [338, 121, 460, 495]萬物睽而
text [231, 149, 329, 695]雀憬曰萬物雖睽於形色
text [174, 149, 268, 695]同也
text [80, 149, 177, 695]矣故萬物睽坤為事
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
text [0, 149, 81, 695]一
