text [728, 149, 865, 730]九四 睽孤過元孚子厲元咎
text [427, 150, 718, 732]睽孤震爲元夫謂二已變動而應震故過
text [58, 117, 297, 677]九四睽孤過元孚子厲元咎
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
text [0, 117, 55, 677]1
