text [695, 121, 775, 240]貞吉
text [487, 121, 677, 790]虞翻曰謂五當位正邦故貞吉也
彖曰蹇難也險在前也見險而能止知矣哉
text [316, 174, 460, 790]虞翻曰離見坎險艮爲止觀乾爲智故至矣
text [178, 136, 260, 503]蹇利西南往得也
text [50, 174, 177, 791]荀爽曰西南謂坤乾
text [0, 174, 55, 421]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
text [0, 699, 55, 791]四
