text [628, 128, 907, 944]虞舜曰譽謂二多譽也失位應陰注歷坎
險故往寒變而得位以陽承二故來而譽矣
text [472, 130, 631, 944]虞翻曰良為大謂憂之正以待四也
text [355, 130, 460, 611]六二王臣寒寒
text [202, 130, 355, 944]虞翻曰觀乾為王坤爲臣爲躬坎爲寒也之
text [34, 130, 297, 944]應涉坤二五俱坎故王臣寒寒觀上之二折
坤之體臣道得正故臣躬之故衆曰終无
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
text [0, 0, 55, 64][NO TEXT]
