text [895, 130, 907, 200]-
text [776, 130, 865, 632]上六往寒來碩古利見大人
text [650, 130, 775, 956]虞翻曰陰在險上變失位故往寒碩謂三良為碩退來之三故來碩得位有應故古也離
text [487, 174, 617, 744]為見人謂五故利見大人矣
text [365, 121, 477, 952]象曰往寒來碩志在內也利見大人
text [231, 174, 359, 952]侯果曰愈寒之極體猶在坎水无所之故曰
text [124, 174, 230, 952]往寒來而復位下應於二三德碩大故曰來
text [43, 174, 124, 952]碩三為內主五為大人若志在內心竭於五
text [0, 270, 55, 352]易事
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
text [0, 694, 55, 734]五
