text [695, 140, 907, 684]虞翻曰動體離中故為志也
六三三人行則損一人
text [412, 160, 692, 948]損初之上故則損一人
text [306, 140, 415, 458]虞翻曰
text [165, 174, 359, 948]虞翻曰一人謂恭初之上損剛益柔故一人
行先為友初之上據坤應允故則得其友言
text [50, 174, 155, 321]致一也
text [0, 174, 55, 421]万
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55, 721]一
text [0, 678, 55
