text [776, 113, 907, 637]豪曰益損上益下民說无疆
text [630, 158, 777, 835]蜀寸曰此本不卦乾上之初坤爲无疆震爲
text [417, 128, 605, 495]自上
text [87, 149, 260, 515]利有攸往中正有慶
text [31, 178, 117, 515]廣韻曰中正謂五
text [0, 178, 77, 415]廣韻曰
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
text [0, 694, 55, 755][Unreadable]
