text [695, 175, 907, 240]失
text [776, 174, 903, 944]虞天翻曰，舜為命也。欲初之四承，已故不令命
text [677, 174, 760, 507]上九姑其角否否
text [497, 174, 665, 944]虞翻曰，乾爲貞，自位在首上故稱角動而得正
text [382, 174, 460, 327]故
text [231, 134, 359, 560]象曰始其角上窮者也
text [100, 174, 228, 944]王弼曰進之於極无所復遇
text [31, 174, 110, 944]其角也進而无遇獨恨而不與物牽故曰
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
text [0, 174, 77, 424][Unreadable]
