text [713, 160, 835, 369]能聚東也
text [425, 160, 699, 369]五
假
有
顧
text [607, 130, 718, 321]五
假
有
顧
text [725, 160, 843, 369]能聚東也
text [377, 130, 470, 921]諸侯助於左廟中假大也言五親奉上矣
text [277, 130, 377, 321]致孝也
text [131, 160, 260, 921]廣翻曰專直耗也五至初有觀象謂直坤牛
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
text [50, 174, 130, 421]故致孝直
