text [628, 128, 907, 552]外五虛震兖為春秋二升坎離為冬夏四時
text [607, 128, 788, 632]巽而順剛中而應是以大亨
text [417, 165, 577, 907]上居尊位也
text [65, 165, 312, 907]苟矣曰大人天子謂升居五見為大人羣陰
text [0, 165, 165, 637]主无所復憂而有慶也
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text [0, 645, 165, 637][Unreadable]
text
