text [795, 174, 907, 945]荀爽曰謂二雉掩陰險猶不失中和之任
text [695, 174, 788, 945]合故通也喻君子雖階險中不失中和之任
text [600, 136, 690, 500]貞人吉以剛也
text [481, 174, 600, 945]荀爽曰謂五雉掩於陰近无所據遠无所應
text [345, 174, 460, 777]體剛得中正居王位則吉死各也
text [231, 150, 335, 567]有言不信尚口乃窮也
text [80, 174, 220, 944]廣翻曰免爲口上變口滅故尚口乃窮
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
text [0, 174, 81, 944]一
